"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-06-23,2019-06-23 08:24:00,"1","CT",42.1,43.3,42.6,42.4,42.2,41.4,2.94915254237288,2.74576271186441,1.6271186440678,-0.20338983050847,-1.22033898305085,-0.508474576271186
2019-06-23,2019-06-23 08:24:00,"2","PN",41.8,43.4,44.2,40.7,40.6,41.1,1.6271186440678,1.11864406779661,0.101694915254239,-1.32203389830509,-1.42372881355932,0.508474576271186
2019-06-23,2019-06-23 08:25:00,"3","RM",43.9,46.8,41.8,42.2,40.4,40.1,2.74576271186441,0.305084745762709,2.94915254237288,-2.54237288135593,0.508474576271186,-0.508474576271186
2019-06-23,2019-06-23 08:26:00,"4","CT",44.3,42.1,43.6,41.8,40.8,42.9,1.93220338983051,2.54237288135593,2.94915254237288,0.813559322033895,1.42372881355932,0.610169491525425
2019-06-23,2019-06-23 08:27:00,"5","PN",43,44.3,42.5,43.1,40.2,39.7,1.52542372881356,1.01694915254237,1.32203389830509,0.101694915254239,2.94915254237288,-0.101694915254239
2019-06-23,2019-06-23 08:27:00,"6","RM",42.1,44.7,44.2,44.5,37.1,39.9,1.32296819787986,0,2.03533568904594,-0.712367491166073,-0.407067137809186,0.407067137809193
2019-06-23,2019-06-23 08:28:00,"7","CT",44.9,43.5,45.6,43.5,40.8,40,1.93356890459364,0.101766784452291,0.91590106007067,2.44240282685512,1.01766784452297,1.01766784452297
2019-06-23,2019-06-23 08:29:00,"8","PN",41.1,40.9,44.5,39.1,39.4,41.4,1.11943462897527,2.23886925795053,0,-2.95123674911661,-4.17243816254417,0.203533568904597
2019-06-23,2019-06-23 08:30:00,"9","RM",42.8,42.8,43.9,43,40,43.8,2.74770318021202,0,3.0530035335689,1.62826855123674,1.83180212014134,1.83180212014134
2019-06-24,2019-06-24 08:16:00,"1","CT",44.2,44.4,44.4,43.9,44.7,42.5,1.50837988826816,2.51396648044693,1.10614525139665,2.11173184357542,1.10614525139665,1.81005586592178
2019-06-24,2019-06-24 08:16:00,"2","PN",44.3,44.9,43,41.5,43.5,42,0.804469273743014,2.91620111731843,0.905027932960892,2.51396648044693,1.50837988826816,-1.20670391061453
2019-06-24,2019-06-24 08:17:00,"3","RM",45.9,44.3,43.2,44.2,43.2,41.7,2.01117318435754,2.81564245810056,1.60893854748603,2.01117318435754,-2.51396648044693,1.40782122905028
2019-06-24,2019-06-24 08:18:00,"4","CT",47.1,44.8,44.9,44,42.5,44,2.2122905027933,1.70949720670391,1.10614525139665,2.81564245810056,2.71508379888268,1.3072625698324
2019-06-24,2019-06-24 08:19:00,"5","PN",45,45.2,45.6,44.2,40.4,40.3,1.10614525139665,0.20111731843575,0.603351955307257,2.01117318435754,0.9050279329609,3.11731843575419
